observation_id,source_row,image_date,authoritative_lat,authoritative_lng,manual_spacing_m,wiggle_spacing_m
obs_001,57,2017-08-17,31.29812,120.01688,,369.5447048
obs_002,81,2017-09-11,48.01353,-98.95995,,54.51738712
obs_003,25,2017-10-13,48.01062,-98.98725,76.20806952,
obs_004,27,2018-04-19,31.33429,120.02349,71.61642828,97.85781439
obs_005,50,2018-04-19,31.36481,119.99809,40.44183062,188.5792208
obs_006,69,2018-04-19,31.18315,120.29864,,125.3438923
obs_007,68,2018-04-29,31.36351,120.12623,,126.24514
obs_008,73,2018-05-09,31.36066,120.13631,,110.7985895
obs_009,63,2018-06-13,31.36396,120.02993,,157.9727524
obs_010,75,2018-06-13,31.3619,120.09194,,108.120343
obs_011,79,2018-06-13,31.27784,120.22257,,75.59410319
obs_012,71,2018-06-13,31.41425,120.14728,,115.5076462
obs_013,65,2018-06-18,31.39743,120.2383,,148.6952771
obs_014,67,2018-08-07,31.38602,120.14593,,147.7419404
obs_015,60,2018-08-07,31.30626,119.97152,,197.885081
obs_016,48,2018-08-12,48.04927,-98.8547,41.34629574,
obs_017,66,2018-08-27,31.38465,120.14425,,148.4256036
obs_018,70,2018-09-01,48.02538,-98.92961,,118.7082602
obs_019,52,2018-10-11,31.32474,120.00474,38.21719311,125.875616
obs_020,72,2019-05-24,31.38457,120.15229,,111.5705296
obs_021,62,2019-05-29,31.36097,120.17958,,179.0578665
obs_022,78,2019-11-05,31.3318,120.00427,,78.84174563
obs_023,58,2019-12-10,31.27468,120.03466,,240.0385851
obs_024,26,2020-04-20,54.69614,-6.47065,74.96224053,
obs_025,74,2020-05-03,31.24797,120.19523,,110.0430083
obs_026,14,2020-08-11,31.23357,120.13801,212.1271591,300.5653587
obs_027,46,2020-10-10,31.3164,119.95491,42.44398558,
obs_028,77,2020-10-20,31.20663,120.26347,,94.03664409
obs_029,18,2020-11-13,54.62757,-6.47327,99.70918716,
obs_030,24,2021-01-22,54.62495,-6.32666,76.38345592,
obs_031,33,2021-02-09,54.55048,-6.44421,52.64559171,
obs_032,40,2021-02-21,54.58469,-6.36237,47.17957738,
obs_033,43,2021-03-26,54.66049,-6.32452,43.47822366,
obs_034,56,2021-05-14,41.85671,-83.129,,406.7357008
obs_035,64,2021-07-07,31.30319,120.12571,,150.0154346
obs_036,17,2021-08-13,48.04819,-99.17419,100.4628601,
obs_037,61,2021-10-10,31.34447,120.09894,,185.1798507
obs_038,80,2021-10-30,31.282,120.03636,,69.86280218
obs_039,29,2022-07-22,48.07822,-99.20752,63.17308753,
obs_040,34,2022-07-27,48.02176,-98.98111,52.46092535,
obs_041,32,2022-09-24,54.58103,-6.35173,53.37615632,
obs_042,44,2022-10-07,54.55463,-6.50828,43.35428673,
obs_043,31,2022-11-03,54.62875,-6.38559,53.46002757,
obs_044,36,2022-11-08,54.51776,-6.53754,49.45643707,
obs_045,21,2022-11-16,54.6221,-6.44889,78.83919333,
obs_046,20,2022-12-08,54.66917,-6.40884,79.91778623,
obs_047,30,2023-02-26,54.5709,-6.44309,56.36417221,
obs_048,37,2023-03-08,54.54805,-6.43825,49.19757739,
obs_049,54,2023-04-20,54.53051,-6.50678,37.24675827,
obs_050,23,2023-07-07,48.06041,-99.19042,76.61044046,
obs_051,51,2023-08-05,54.65643,-6.49987,39.32672674,
obs_052,55,2023-09-01,41.88848,-83.07853,,517.7878724
obs_053,92,2023-09-01,41.82516,-81.14961,,38.0
obs_054,19,2023-09-17,48.01485,-98.97592,82.91286298,
obs_055,41,2023-09-22,54.6477,-6.48795,43.77557268,
obs_056,38,2023-10-12,54.55024,-6.45712,48.91934722,
obs_057,39,2023-10-14,54.61354,-6.46126,47.62729888,
obs_058,15,2023-12-13,54.55837,-6.42323,145.2011897,
obs_059,47,2024-01-30,54.6119,-6.35649,41.35939644,342.9462524
obs_060,53,2024-02-29,54.55904,-6.46704,37.8473114,
obs_061,28,2024-03-20,54.52098,-6.39159,67.69346434,
obs_062,49,2024-03-22,54.59297,-6.35177,40.72962664,
obs_063,22,2024-03-30,54.64078,-6.39795,78.44640948,
obs_064,45,2024-06-23,48.15226,-99.15923,43.24604302,52.33482851
obs_065,13,2024-07-18,48.08915,-99.20817,334.7000556,
obs_066,76,2024-07-21,48.00003,-98.96508,,106.3726971
obs_067,59,2024-08-14,54.66882,-6.31636,,207.3406028
