scenario,model,visible_spacing_multiplier,max_cell_aspect_ratio,rmse_m,mae_m,range_coverage_fraction,dynamic_range_pass,attractor_pass,attractor_max_fraction,strict_interval_hit_rate,interval_hit_rate_25pct,mean_visible_n_events,mean_mechanical_n_events,cap_binding_rate,can_advance_to_wp06
matched_m1.00_cell12,cl,1.0,12.0,138.97109778881557,109.48406427613514,0.6305439283491118,True,True,0.3134328358208955,0.373134328358209,0.4029850746268656,2.373134328358209,121.61194029850746,0.7910447761194029,False
matched_m1.00_cell12,scaling,1.0,12.0,127.76206355144689,91.74403276766527,0.2933112287725736,False,True,0.373134328358209,0.3134328358208955,0.3582089552238806,2.373134328358209,121.61194029850746,0.7910447761194029,False
matched_m1.25_cell12,cl,1.25,12.0,150.94346262596292,121.0160632974512,0.7881799104363897,True,True,0.2985074626865671,0.3880597014925373,0.4626865671641791,2.373134328358209,121.61194029850746,0.7910447761194029,False
matched_m1.25_cell12,scaling,1.25,12.0,128.81970310677562,96.61899505318782,0.366639035965717,False,True,0.3880597014925373,0.3582089552238806,0.3582089552238806,2.373134328358209,121.61194029850746,0.7910447761194029,False
matched_m1.50_cell12,cl,1.5,12.0,166.5019084547601,133.25542468969954,0.9458158925236676,True,True,0.4029850746268656,0.417910447761194,0.4776119402985074,2.373134328358209,121.61194029850746,0.7910447761194029,False
matched_m1.50_cell12,scaling,1.5,12.0,131.7308848495288,101.99882558221346,0.4399668431588604,False,True,0.3283582089552239,0.3582089552238806,0.4029850746268656,2.373134328358209,121.61194029850746,0.7910447761194029,False
matched_m1.00_cell300,cl,1.0,300.0,138.97109778881557,109.48406427613514,0.6305439283491118,True,True,0.3134328358208955,0.373134328358209,0.4029850746268656,2.373134328358209,121.61194029850746,0.7761194029850746,False
matched_m1.00_cell300,scaling,1.0,300.0,127.76206355144689,91.74403276766527,0.2933112287725736,False,True,0.373134328358209,0.3134328358208955,0.3582089552238806,2.373134328358209,121.61194029850746,0.7761194029850746,False
matched_m1.25_cell300,cl,1.25,300.0,150.94346262596292,121.0160632974512,0.7881799104363897,True,True,0.2985074626865671,0.3880597014925373,0.4626865671641791,2.373134328358209,121.61194029850746,0.7761194029850746,False
matched_m1.25_cell300,scaling,1.25,300.0,128.81970310677562,96.61899505318782,0.366639035965717,False,True,0.3880597014925373,0.3582089552238806,0.3582089552238806,2.373134328358209,121.61194029850746,0.7761194029850746,False
matched_m1.50_cell300,cl,1.5,300.0,166.5019084547601,133.25542468969954,0.9458158925236676,True,True,0.4029850746268656,0.417910447761194,0.4776119402985074,2.373134328358209,121.61194029850746,0.7761194029850746,False
matched_m1.50_cell300,scaling,1.5,300.0,131.7308848495288,101.99882558221346,0.4399668431588604,False,True,0.3283582089552239,0.3582089552238806,0.4029850746268656,2.373134328358209,121.61194029850746,0.7761194029850746,False
matched_m2.00_cell12,cl,2.0,12.0,204.95067674986035,160.2769362161646,1.2610878566982235,True,True,0.4925373134328358,0.3880597014925373,0.5074626865671642,2.373134328358209,121.61194029850746,0.7910447761194029,False
matched_m2.00_cell12,scaling,2.0,12.0,142.58844104648952,114.56778922971543,0.5866224575451472,False,True,0.3283582089552239,0.40298507462686567,0.47761194029850745,2.373134328358209,121.61194029850746,0.7910447761194029,False
matched_m2.25_cell12,cl,2.25,12.0,226.60034790752712,174.14472664740154,1.4187238387855015,True,True,0.47761194029850745,0.3283582089552239,0.5074626865671642,2.373134328358209,121.61194029850746,0.7910447761194029,False
matched_m2.25_cell12,scaling,2.25,12.0,150.17120530306278,121.29967908719853,0.6599502647382907,True,True,0.44776119402985076,0.43283582089552236,0.4925373134328358,2.373134328358209,121.61194029850746,0.7910447761194029,False
